Name,Price,Beer Type,Stock,URL
Affligem Blond - SUB Keg,£ 9.99,Blonde & GoldenAle | 6.8% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/affligem-blond-2l-keg'}
Oedipus Mannenliefde - SUB Keg,£ 17.99,Saison Bier | 6.0% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/oedipus-mannenliefde---2l-keg'}
Delirium Tremens - SUB Keg,£ 18.99,Blond Bier | 8.5% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/delirium-tremens-2l-keg'}
Newcastle Brown Ale - SUB Keg,£ 9.49,Brown Ale | 4.7% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/newcastle-brown-ale-2l-keg'}
Tiger - SUB Keg,£ 8.99,Lager Bier | 4.8% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/tiger-2l-keg'}
Strongbow Original Cider - SUB Keg,£ 8.49,Cider | 4.5% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/strongbow-original-cider--2l-keg'}
Hofbräu Kaltenhausen Gandolf IPA - SUB Keg,£ 9.99,IPA | 7.9% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/hofbrau-kaltenhausen-gandolf-ipa-2l-keg'}
La Chouffe Blonde D'ardenne - SUB Keg,-10%,Blonde & GoldenAle | 8.0% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/la-chouffe-blonde-dardenne-2l-keg'}
St. Feuillien Saison - SUB Keg,£ 14.99,Saison | 6.2% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/st.-feuillien-saison-2l-keg'}
Five Points Pale - SUB Keg,£ 15.49,Pale Ale | 4.4% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/five-points-pale-2l-keg'}
Affligem Dubbel - SUB Keg,£ 11.99,Dubbel Bier | 6.8% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/affligem-dubbel-2l-keg'}
Hapkin - SUB Keg,£ 14.99,Blond Bier | 8.5% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/hapkin-2l-keg'}
Gösser Radler - SUB Keg,£ 7.99,Lager Bier | 2.0% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/gosser-radler-2l-keg'}
Birra Moretti L'Autentica - SUB Keg,£ 8.49,Lager Bier | 4.6% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/birra-moretti-lautentica-2l-keg'}
Heineken - SUB Keg,£ 8.49,Lager | 5.0% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/heineken-2l-keg'}
Desperados - SUB Keg,£ 9.99,Lager | 5.9% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/desperados-2l-keg'}
Birra Moretti Baffo d'Oro - SUB Keg,£ 8.99,Lager Bier | 4.8% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/birra-moretti-baffo-doro-2l-keg'}
Strongbow Dark Fruit - SUB Keg,£ 8.99,Cider | 4.0% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/strongbow-dark-fruit-2l-keg'}
Affligem Fris Blond 4.6 - SUB Keg,£ 8.99,Blond Bier | 4.6% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/affligem-fris-blond-2l-keg'}
Pelforth Blonde - SUB Keg,£ 8.99,Lager Bier | 5.8% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/pelforth-blonde-2l-keg'}
Cruzcampo Gran Reserva - SUB Keg,£ 9.99,Lager Bier | 6.4% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/cruzcampo-gran-reserva-2l-keg'}
Edelweiss Hefetrüb - SUB Keg,£ 8.49,Weizenbier | 5.3% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/edelweiss-2l-keg'}
Amstel - SUB Keg,£ 8.49,Lager | 5.0% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/amstel-2l-keg'}
Wild Beer Co Millionaire - SUB Keg,£ 13.99,Porter & Stout | 4.7% | 2 Litres,in stock,{'https://www.beerwulf.com/en-gb/p/beers/wild-beer-co-millionaire-2l-keg'}
Cruzcampo Especial - SUB Keg,£ 8.99,Lager Bier | 5.6% | 2 Litres,out of stock,{'https://www.beerwulf.com/en-gb/p/beers/cruzcampo-especial-2l-keg'}
Gösser Zwickl - SUB Keg,£ 8.99,Lager Bier | 5.2% | 2 Litres,out of stock,{'https://www.beerwulf.com/en-gb/p/beers/gosser-zwickl-2l-keg'}
Zipfer Urtyp - SUB Keg,£ 7.99,Lager | 5.4% | 2 Litres,out of stock,{'https://www.beerwulf.com/en-gb/p/beers/zipfer-urtyp-2l-keg'}
La Cristal IPA du Mont Blanc - SUB Keg,£ 16.99,IPA | 4.7% | 2 Litres,out of stock,{'https://www.beerwulf.com/en-gb/p/beers/la-cristal-ipa-du-mont-blanc-2l-keg'}
St. Feuillien Blond - SUB Keg,£ 15.99,Blond Bier | 7.0% | 2 Litres,out of stock,{'https://www.beerwulf.com/en-gb/p/beers/st-feuillien-blond-2l-keg'}
Affligem Tripel - SUB Keg,£ 13.99,Tripel Bier | 8.5% | 2 Litres,out of stock,{'https://www.beerwulf.com/en-gb/p/beers/affligem-tripel-2l-keg'}
Lagunitas IPA - SUB Keg,£ 13.99,India Pale Ale | 6.2% | 2 Litres,out of stock,{'https://www.beerwulf.com/en-gb/p/beers/lagunitas-ipa-2l-keg'}
Lagunitas DayTime - SUB Keg,£ 12.99,IPA | 4.0% | 2 Litres,out of stock,{'https://www.beerwulf.com/en-gb/p/beers/lagunitas-daytime-2l-keg'}
