title,link
Latest & Trending,https://www.hotstar.com/in/in/list/latest-trending/t-7071_25_2
Movies Recommended For You,https://www.hotstar.com/in/in/list/movies-recommended-for-you/t-6520_25_2
Popular Shows,https://www.hotstar.com/in/in/list/popular-shows/t-5590_25_2
Loved By Cricket Lovers,https://www.hotstar.com/in/in/list/loved-by-cricket-lovers/t-7116
Shows Recommended For You,https://www.hotstar.com/in/in/list/shows-recommended-for-you/t-6521_25_2
Popular Movies,https://www.hotstar.com/in/in/list/popular-movies/t-5647_25_2
Live News,https://www.hotstar.com/in/in/list/live-news/t-6589_25_2
Best in Sports,https://www.hotstar.com/in/in/list/best-in-sports/t-6517
Covid-19 Explosion,https://www.hotstar.com/in/in/list/covid19-explosion/t-6598_25_2
Popular in Action,https://www.hotstar.com/in/in/list/popular-in-action/t-5705_25_2
Popular in Thriller,https://www.hotstar.com/in/in/list/popular-in-thriller/t-5706_25_2
Best of Superheroes,https://www.hotstar.com/in/in/list/best-of-superheroes/t-6471
New on Disney+ Hotstar,https://www.hotstar.com/in/in/list/new-on-disney-hotstar/t-6498_25_2
Multiplex Movies,https://www.hotstar.com/in/in/list/multiplex-movies/t-6585
Latest TV Shows,https://www.hotstar.com/in/in/list/latest-tv-shows/t-6592
Popular in Disney+,https://www.hotstar.com/in/in/list/popular-in-disney/t-6493_25_2
Health & Wellness at Home,https://www.hotstar.com/in/in/list/health-wellness-at-home/t-6531
Best of Kids,https://www.hotstar.com/in/in/list/best-of-kids/t-6460
Top Stories,https://www.hotstar.com/in/in/list/top-stories/t-6611_25_2
Entertainment News,https://www.hotstar.com/in/in/list/entertainment-news/t-6612_25_2
New Short Movies,https://www.hotstar.com/in/in/list/new-short-movies/t-6570_25_2
Recommended from Disney+,https://www.hotstar.com/in/in/list/recommended-from-disney/t-6560_25_2
Popular in Mythology,https://www.hotstar.com/in/in/list/popular-in-mythology/t-6148_25_2
Popular in Drama,https://www.hotstar.com/in/in/list/popular-in-drama/t-5648_25_2
Popular in Reality,https://www.hotstar.com/in/in/list/popular-in-reality/t-5649_25_2
Popular in Romance,https://www.hotstar.com/in/in/list/popular-in-romance/t-5650_25_2
Popular in Family,https://www.hotstar.com/in/in/list/popular-in-family/t-5651_25_2
Popular in Crime,https://www.hotstar.com/in/in/list/popular-in-crime/t-5703_25_2
Popular in Comedy,https://www.hotstar.com/in/in/list/popular-in-comedy/t-5704_25_2
Popular in Biopic,https://www.hotstar.com/in/in/list/popular-in-biopic/t-5740_25_2
Popular in Documentary,https://www.hotstar.com/in/in/list/popular-in-documentary/t-5741_25_2
Popular in Travel,https://www.hotstar.com/in/in/list/popular-in-travel/t-5742_25_2
Popular in Teen,https://www.hotstar.com/in/in/list/popular-in-teen/t-5745_25_2
Popular in Science,https://www.hotstar.com/in/in/list/popular-in-science/t-5743_25_2
Popular in Talkshow,https://www.hotstar.com/in/in/list/popular-in-talkshow/t-5747_25_2
Popular in Wildlife,https://www.hotstar.com/in/in/list/popular-in-wildlife/t-5746_25_2
Popular Channels,https://www.hotstar.com/in/in/list/popular-channels/t-3529
Hotstar Specials,https://www.hotstar.com/in/in/list/hotstar-specials/t-5626
Popular Genres,https://www.hotstar.com/in/in/list/popular-genres/t-3527_25_2
Popular Languages,https://www.hotstar.com/in/in/list/popular-languages/t-3528_25_2
