,tags,text,author.name,author.goodreads_link,author.slug
0,"['change', 'deep-thoughts', 'thinking', 'world']",“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,/author/show/9810.Albert_Einstein,Albert-Einstein
1,"['abilities', 'choices']","“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,/author/show/1077326.J_K_Rowling,J-K-Rowling
2,"['inspirational', 'life', 'live', 'miracle', 'miracles']",“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,/author/show/9810.Albert_Einstein,Albert-Einstein
3,"['aliteracy', 'books', 'classic', 'humor']","“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,/author/show/1265.Jane_Austen,Jane-Austen
4,"['be-yourself', 'inspirational']","“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,/author/show/82952.Marilyn_Monroe,Marilyn-Monroe
5,"['adulthood', 'success', 'value']",“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,/author/show/9810.Albert_Einstein,Albert-Einstein
6,"['life', 'love']",“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,/author/show/7617.Andr_Gide,Andre-Gide
7,"['edison', 'failure', 'inspirational', 'paraphrased']","“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,/author/show/3091287.Thomas_A_Edison,Thomas-A-Edison
8,['misattributed-eleanor-roosevelt'],“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,/author/show/44566.Eleanor_Roosevelt,Eleanor-Roosevelt
9,"['humor', 'obvious', 'simile']","“A day without sunshine is like, you know, night.”",Steve Martin,/author/show/7103.Steve_Martin,Steve-Martin
